Trial,Mode,ZScore,BetSide,BetSize,Outcome,Won,PnL,Bankroll
13156,DALEM,-0.365,UN,1.60,OV,False,-1.60,126.00
13157,DALEM,-0.365,UN,1.80,UN,True,1.80,127.80
13158,DALEM,-0.730,UN,1.60,OV,False,-1.60,126.20
13159,DALEM,-0.730,UN,1.80,UN,True,1.80,128.00
13160,DALEM,-0.730,UN,1.60,UN,True,1.60,129.60
13161,DALEM,-1.095,UN,1.40,OV,False,-1.40,128.20
13162,DALEM,-1.095,UN,1.60,UN,True,1.60,129.80
13163,DALEM,-1.461,UN,1.40,OV,False,-1.40,128.40
13164,DALEM,-1.095,UN,1.60,UN,True,1.60,130.00
13165,DALEM,-1.461,UN,1.40,UN,True,1.40,131.40
13166,DALEM,-1.826,UN,1.20,UN,True,1.20,132.60
13167,DALEM,-1.826,UN,1.00,UN,True,1.00,133.60
13168,DALEM,-2.191,UN,0.80,UN,True,0.80,134.40
13169,DALEM,-2.191,UN,0.60,OV,False,-0.60,133.80
13170,DALEM,-1.826,UN,0.80,OV,False,-0.80,133.00
13171,DALEM,-1.826,UN,1.00,OV,False,-1.00,132.00
13172,DALEM,-1.461,UN,1.20,UN,True,1.20,133.20
13173,DALEM,-1.461,UN,1.00,OV,False,-1.00,132.20
13174,DALEM,-1.461,UN,1.20,OV,False,-1.20,131.00
13175,DALEM,-1.095,UN,1.40,UN,True,1.40,132.40
13176,DALEM,-1.095,UN,1.20,OV,False,-1.20,131.20
13177,DALEM,-0.730,UN,1.40,OV,False,-1.40,129.80
13178,DALEM,-0.365,UN,1.60,OV,False,-1.60,128.20
13179,DALEM,-0.365,UN,1.80,UN,True,1.80,130.00
13180,DALEM,-0.730,UN,1.60,OV,False,-1.60,128.40
13181,DALEM,-0.365,UN,1.80,OV,False,-1.80,126.60
13182,DALEM,-0.365,UN,2.00,OV,False,-2.00,124.60
13183,DALEM,0.000,UN,2.20,UN,True,2.20,126.80
13184,DALEM,0.000,UN,2.00,UN,True,2.00,128.80
13185,DALEM,0.000,UN,1.80,OV,False,-1.80,127.00
13186,DALEM,0.365,UN,2.00,OV,False,-2.00,125.00
13187,DALEM,0.365,UN,2.20,OV,False,-2.20,122.80
13188,DALEM,0.730,UN,2.40,UN,True,2.40,125.20
13189,DALEM,0.365,UN,2.20,UN,True,2.20,127.40
13190,DALEM,0.365,UN,2.00,OV,False,-2.00,125.40
13191,DALEM,0.730,UN,2.20,OV,False,-2.20,123.20
13192,DALEM,0.730,UN,2.40,OV,False,-2.40,120.80
13193,DALEM,1.095,UN,2.60,UN,True,2.60,123.40
13194,DALEM,0.730,UN,2.40,OV,False,-2.40,121.00
13195,DALEM,1.095,UN,2.60,OV,False,-2.60,118.40
13196,DALEM,1.461,UN,2.80,OV,False,-2.80,115.60
13197,DALEM,1.826,UN,3.00,UN,True,3.00,118.60
13198,DALEM,1.826,UN,2.80,OV,False,-2.80,115.80
13199,DALEM,2.191,UN,3.00,UN,True,3.00,118.80
13200,DALEM,1.826,UN,2.80,OV,False,-2.80,116.00
13201,DALEM,1.826,UN,3.00,UN,True,3.00,119.00
13202,DALEM,1.461,UN,2.80,UN,True,2.80,121.80
13203,DALEM,1.461,UN,2.60,OV,False,-2.60,119.20
13204,DALEM,1.461,UN,2.80,UN,True,2.80,122.00
13205,DALEM,1.095,UN,2.60,OV,False,-2.60,119.40
13206,DALEM,1.461,UN,2.80,OV,False,-2.80,116.60
13207,DALEM,1.461,UN,3.00,OV,False,-3.00,113.60
13208,DALEM,1.461,UN,3.20,OV,False,-3.20,110.40
13209,DALEM,1.461,UN,3.40,UN,True,3.40,113.80
13210,DALEM,1.461,UN,3.20,OV,False,-3.20,110.60
13211,DALEM,1.461,UN,3.40,OV,False,-3.40,107.20
13212,DALEM,1.461,UN,3.60,OV,False,-3.60,103.60
13213,DALEM,1.461,UN,3.80,UN,True,3.80,107.40
13214,DALEM,1.461,UN,3.60,OV,False,-3.60,103.80
13215,DALEM,1.826,UN,3.80,OV,False,-3.80,100.00
13216,DALEM,1.826,UN,4.00,UN,True,4.00,104.00
13217,DALEM,1.461,UN,3.80,OV,False,-3.80,100.20
13218,DALEM,1.461,UN,4.00,UN,True,4.00,104.20
13219,DALEM,1.461,UN,3.80,OV,False,-3.80,100.40
13220,DALEM,1.826,UN,4.00,OV,False,-4.00,96.40
13221,DALEM,1.826,UN,4.20,UN,True,4.20,100.60
13222,DALEM,1.461,UN,4.00,UN,True,4.00,104.60
13223,DALEM,1.095,UN,3.80,UN,True,3.80,108.40
13224,DALEM,1.095,UN,3.60,OV,False,-3.60,104.80
13225,DALEM,1.095,UN,3.80,UN,True,3.80,108.60
13226,DALEM,0.730,UN,3.60,OV,False,-3.60,105.00
13227,DALEM,0.730,UN,3.80,UN,True,3.80,108.80
13228,DALEM,0.730,UN,3.60,UN,True,3.60,112.40
13229,DALEM,0.365,UN,3.40,OV,False,-3.40,109.00
13230,DALEM,0.730,UN,3.60,OV,False,-3.60,105.40
13231,DALEM,0.730,UN,3.80,UN,True,3.80,109.20
13232,DALEM,0.730,UN,3.60,OV,False,-3.60,105.60
13233,DALEM,1.095,UN,3.80,OV,False,-3.80,101.80
13234,DALEM,1.095,UN,4.00,OV,False,-4.00,97.80
13235,DALEM,1.461,UN,4.20,UN,True,4.20,102.00
13236,DALEM,1.095,UN,4.00,UN,True,4.00,106.00
13237,DALEM,0.730,UN,3.80,UN,True,3.80,109.80
13238,DALEM,0.365,UN,3.60,OV,False,-3.60,106.20
13239,DALEM,0.365,UN,3.80,OV,False,-3.80,102.40
13240,DALEM,0.730,UN,4.00,UN,True,4.00,106.40
13241,DALEM,0.365,UN,3.80,OV,False,-3.80,102.60
13242,DALEM,0.365,UN,4.00,UN,True,4.00,106.60
13243,DALEM,0.000,UN,3.80,OV,False,-3.80,102.80
13244,DALEM,0.365,UN,4.00,OV,False,-4.00,98.80
13245,DALEM,0.365,UN,4.20,UN,True,4.20,103.00
13246,DALEM,0.000,UN,4.00,UN,True,4.00,107.00
13247,DALEM,0.000,UN,3.80,OV,False,-3.80,103.20
13248,DALEM,0.000,UN,4.00,OV,False,-4.00,99.20
13249,DALEM,0.365,UN,4.20,UN,True,4.20,103.40
13250,DALEM,0.000,UN,4.00,UN,True,4.00,107.40
13251,DALEM,-0.365,UN,3.80,OV,False,-3.80,103.60
13252,DALEM,0.000,UN,4.00,OV,False,-4.00,99.60
13253,DALEM,0.365,UN,4.20,OV,False,-4.20,95.40
13254,DALEM,0.730,UN,4.40,UN,True,4.40,99.80
13255,DALEM,0.365,UN,4.20,UN,True,4.20,104.00
13256,DALEM,0.365,UN,4.00,UN,True,4.00,108.00
13257,DALEM,0.000,UN,3.80,OV,False,-3.80,104.20
13258,DALEM,0.365,UN,4.00,OV,False,-4.00,100.20
13259,DALEM,0.730,UN,4.20,UN,True,4.20,104.40
13260,DALEM,0.365,UN,4.00,UN,True,4.00,108.40
13261,DALEM,0.000,UN,3.80,UN,True,3.80,112.20
13262,DALEM,0.000,UN,3.60,OV,False,-3.60,108.60
13263,DALEM,0.000,UN,3.80,UN,True,3.80,112.40
13264,DALEM,-0.365,UN,3.60,UN,True,3.60,116.00
13265,DALEM,-0.730,UN,3.40,OV,False,-3.40,112.60
13266,DALEM,-0.365,UN,3.60,UN,True,3.60,116.20
13267,DALEM,-0.365,UN,3.40,OV,False,-3.40,112.80
13268,DALEM,0.000,UN,3.60,UN,True,3.60,116.40
13269,DALEM,-0.365,UN,3.40,OV,False,-3.40,113.00
13270,DALEM,-0.365,UN,3.60,OV,False,-3.60,109.40
13271,DALEM,0.000,UN,3.80,UN,True,3.80,113.20
13272,DALEM,-0.365,UN,3.60,UN,True,3.60,116.80
13273,DALEM,-0.365,UN,3.40,UN,True,3.40,120.20
13274,DALEM,-0.730,UN,3.20,UN,True,3.20,123.40
13275,DALEM,-1.095,UN,3.00,OV,False,-3.00,120.40
13276,DALEM,-0.730,UN,3.20,OV,False,-3.20,117.20
13277,DALEM,-0.365,UN,3.40,UN,True,3.40,120.60
13278,DALEM,-0.730,UN,3.20,UN,True,3.20,123.80
13279,DALEM,-1.095,UN,3.00,OV,False,-3.00,120.80
13280,DALEM,-0.730,UN,3.20,OV,False,-3.20,117.60
13281,DALEM,-0.365,UN,3.40,OV,False,-3.40,114.20
13282,DALEM,-0.365,UN,3.60,OV,False,-3.60,110.60
13283,DALEM,-0.365,UN,3.80,OV,False,-3.80,106.80
13284,DALEM,-0.365,UN,4.00,OV,False,-4.00,102.80
13285,DALEM,0.000,UN,4.20,UN,True,4.20,107.00
13286,DALEM,0.000,UN,4.00,UN,True,4.00,111.00
13287,DALEM,0.000,UN,3.80,OV,False,-3.80,107.20
13288,DALEM,0.000,UN,4.00,UN,True,4.00,111.20
13289,DALEM,-0.365,UN,3.80,OV,False,-3.80,107.40
